Heim,BP,BP,Gast
SC Springer Bad König I,	2,		6,		SF Darmstadt 1994 II
SC Springer Bad König II,	1.5,	3.5,	SK 1980 Gernsheim V
SC Springer Bad König III,	2.5,	1.5,	SK 1980 Gernsheim VI
